,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Armed Forces size,Co2-Emissions,CPI,CPI Change (%),Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Deforestation
67,4.02535169073515,42.1,11.778139511103744,9.392745258631441,5592.0,162.74,5.4,25.9,0.91,23.250666306335997,120.6,17.4,2.8154087194227095,0.43178241642553766,36.0,0.98,66.4,15.6,60.6,6.84,15.162580085922396,12.865416,-85.207229,10.270592910089658
68,2.995732273553991,36.1,14.052163248568947,9.210440366976517,2017.0,109.32,-2.5,0.9,0.88,23.282672563987024,74.7,4.4,3.8918202981106265,0.25464221837358075,52.3,0.04,72.0,11.8,47.2,0.47,15.163643964188681,17.607789,8.081666,9.899529730681785
69,2.772588722239781,2.7,12.687890585161133,10.043292972227004,41023.0,120.27,2.2,33.2,1.78,26.723036699990452,100.3,82.0,1.131402111491101,2.274391358623264,14.3,2.92,63.8,23.9,36.2,3.35,15.3012472316748,60.472024,8.468946,8.863757191604241
70,2.833213344056216,4.6,12.64271660211934,10.757924157061597,63457.0,113.53,0.1,0.0,0.45,25.066851688319638,103.4,38.0,2.379546134130174,1.673351238177753,6.4,2.0,72.4,2.5,27.4,2.67,15.262612582970908,21.4735329,55.975413,0.0
71,4.07753744390572,30.4,11.23084102980692,10.165890277802454,10715.0,122.07,-0.4,61.9,0.74,24.92498089348017,94.4,47.8,2.6461747973841225,0.9282193027394289,30.5,1.57,66.6,15.97659574468085,37.2,3.9,14.876796471420803,8.537981,-80.782127,8.599878558034845
72,3.044522437723423,2.6,13.045138861561789,8.294299608857235,7536.0,155.99,3.6,74.1,1.36,23.940925379883534,108.5,1.8,3.6635616461296463,0.7701082216960736,5.8,0.07,47.2,13.6,37.1,2.46,13.966371546973072,-6.314993,143.95555,10.42022566305372
73,2.9444389791664403,55.1,12.915961400591884,10.203629181337648,7407.0,143.82,2.8,37.7,1.04,24.364668099266574,104.4,34.6,2.9014215940827497,0.9360933591703348,36.5,1.35,72.1,10.0,35.0,4.81,15.287787871593245,-23.442503,-58.443832,12.290510296660331
74,4.8283137373023015,46.9,12.652954771097328,12.160033942617156,299037.0,114.11,2.2,30.9,1.07,27.10705013714439,100.0,67.8,1.5686159179138455,1.3686394258811698,23.2,2.38,56.7,17.4,40.8,3.47,16.942120863342375,51.919438,19.145136,7.396948602621014
75,4.718498871295094,39.5,11.431856397436228,10.859018228147887,48742.0,110.62,0.3,34.6,1.54,26.19421663002582,106.2,63.9,1.4109869737102625,1.5644405465033644,27.7,5.12,58.8,22.8,39.8,6.33,15.725583292622428,39.399872,-8.224454,10.50207677030558
76,5.517452896464707,5.8,9.357639058997062,9.99884318585288,103259.0,115.38,-0.7,0.0,0.4,25.93529633921118,103.8,17.9,1.916922612182061,1.8280913984754452,6.2,2.49,86.8,14.7,11.3,0.09,14.848364737655361,25.354826,51.183884,0.0
77,4.442651256490317,58.8,12.381671656563302,11.744045122410057,69259.0,123.78,3.8,30.1,1.16,26.245036482909956,85.2,49.4,1.9600947840472698,1.1786549963416462,21.3,2.98,54.7,14.6,20.0,3.98,16.163909389965855,45.943161,24.96676,3.044522437723423
78,2.302585092994046,13.3,16.654486150684793,14.189829624833274,1732027.0,180.75,4.5,49.8,0.59,28.161576763691635,102.6,81.9,1.9600947840472698,0.4252677354043441,36.4,4.01,61.8,11.4,46.2,4.59,18.494710548765386,61.52401,105.318756,0.0
79,5.652489180268651,25.6,5.966146739123692,10.357774570341576,220.0,109.67,2.3,69.2,1.0253535353535355,20.531360727459955,113.4,23.7,2.760009940032921,0.7701082216960736,21.4,0.66,65.9,25.4,37.0,18.88,10.9714000549546,12.984305,-61.287228,2.3978952727983707
80,6.340359303727752,16.7,4.127134385045092,10.357774570341576,24952.0,110.63,1.0,0.0,1.0253535353535355,21.21669971831632,108.1,42.5,0.9932517730102831,2.160791087376159,18.3,6.11,62.055,18.1,36.2,5.375,10.403353336065777,43.94236,12.457777,0.0
81,2.833213344056216,80.8,14.580834668844771,12.437188334739655,563449.0,118.4,-1.2,0.5,0.24,27.399047239501304,99.8,68.0,1.9459101490553132,1.5789787049493917,15.0,2.61,55.9,8.9,15.7,5.93,17.17615809556988,23.885942,45.079162,0.0
82,4.477336814478207,46.1,12.18955192687546,9.852246888342531,10902.0,109.25,1.8,42.8,1.14,23.88358347570099,81.0,12.8,3.4904285153900982,0.2700271372130602,44.2,0.07,45.7,16.3,44.8,6.6,15.865228060001618,14.497401,-14.452362,9.973526543316103
83,4.61512051684126,39.3,11.25771058265595,10.373522431293592,45221.0,144.0,1.8,31.1,1.16,24.66308234665625,100.3,67.2,1.7578579175523739,0.9439058989071285,40.6,3.11,54.9,18.6,36.6,12.69,15.178342824096376,44.016521,21.005859,3.044522437723423
84,9.031094081699155,0.9,6.57507584059962,11.302216779257382,37535.0,114.41,0.6,23.1,1.25,26.642327761745452,100.6,84.8,1.1939224684724348,2.274391358623264,36.7,2.29,70.5,13.1,21.0,4.11,15.556602852540376,1.352083,103.819836,0.0
85,4.6443908991413725,30.7,9.917094555942345,8.853808274977197,12633.0,111.05,1.6,62.0,1.32,24.707463623881644,100.4,78.6,0.9932517730102831,1.8325814637483102,12.5,3.09,58.4,18.6,31.0,4.2,13.950613839523816,46.151241,14.995463,7.791935956938058
